wul;wvl;wgul;wgvl;time
1.1639516416203073;1.011807725519959;3.3625269646808875;2.9230000959465476;2017-01-02 02:00:00
0.8015372405704987;1.8002821179750508;1.9864183788051493;4.46156872715556;2017-01-02 03:00:00
1.305645234188189;3.075907413888755;2.7117247171600845;6.388423090384337;2017-01-02 04:00:00
0.6947460503026395;3.2685231866950284;1.9951681444588627;9.386528125893417;2017-01-02 05:00:00
-0.36719857867573746;3.493661104593495;-1.0030790441873796;9.543659602791987;2017-01-02 06:00:00
-1.2444079906796621;3.82989398644413;-2.4888159813593242;7.65978797288826;2017-01-02 07:00:00
-1.5682250358988017;3.5222911003859694;-3.972836757610297;8.923137454311123;2017-01-02 08:00:00
-1.3203229933038128;3.43955899171955;-3.469686005658856;9.038841071263;2017-01-02 09:00:00
;;;;2017-01-02 10:00:00
-1.9857950279747636;3.30491792121207;-4.765908067139433;7.931803010908968;2017-01-02 11:00:00
-1.3614364640292944;2.6719695068816773;-4.1621057614609835;8.16859249246684;2017-01-02 12:00:00
-1.9078635818418235;2.5318204866413594;-4.898568656080358;6.500620168403491;2017-01-02 13:00:00
-2.164885563361319;1.9492717166925393;-5.921598746841257;5.331831460364889;2017-01-02 14:00:00
-1.0281673658510575;1.7808381163382896;-3.555745473568241;6.158731819003251;2017-01-02 15:00:00
-0.8723145028288742;1.5736970207191379;-2.8661762235805863;5.170718782362881;2017-01-02 16:00:00
-0.9138532886778681;1.6486349740867157;-2.450788365090647;4.421339248687103;2017-01-02 17:00:00
-0.21445441579831154;1.3540118925753395;-0.7908006582562743;4.992918853871567;2017-01-02 18:00:00
-0.36620494390107095;1.586207879551069;-1.175710609366596;5.092562139611327;2017-01-02 19:00:00
;;;;2017-01-02 20:00:00
-0.025420659235377063;1.4563485922233637;-0.08074797639472697;4.626048469415391;2017-01-02 21:00:00
0.20271542419953115;1.4423951916096152;0.5604485257281155;3.9877984709207013;2017-01-02 22:00:00
0.2698352218218413;1.1687847533534195;0.8480535542972156;3.6733235105393183;2017-01-02 23:00:00
0.1135587722792133;1.6239661028869792;0.27493176446546364;3.931707406989528;2017-01-03 00:00:00
0.524565673573046;0.2907715009429579;3.522083808276166;1.9523229349027176;2017-01-03 01:00:00
0.466104401042584;0.3774439017662068;1.731244918158169;1.4019344922744823;2017-01-03 02:00:00
1.1240693005136702;0.6230817877349101;2.772704274600386;1.5369350764127778;2017-01-03 03:00:00
1.0905361748819888;1.0905361748819893;2.8475111233029713;2.847511123302972;2017-01-03 04:00:00
1.3217864869062137;1.57524379441296;3.9102850237642146;4.660096225138339;2017-01-03 05:00:00
0.8266693751089386;2.7039136901957193;2.429906951077789;7.947867513605599;2017-01-03 06:00:00
0.18833542794361358;3.5936540437338715;0.43496515501263167;8.299629577194892;2017-01-03 07:00:00
-1.1721798327705137;3.22053762207708;-2.5201866404566045;6.924155887465721;2017-01-03 08:00:00
-1.2274787691011506;4.014902146048191;-2.6804128223229196;8.767235298513391;2017-01-03 09:00:00
;;;;2017-01-03 10:00:00
-1.3238382879570874;4.074355304727798;-3.018351296542158;9.289530094779378;2017-01-03 11:00:00
-1.4985261454144108;3.3657448292577046;-3.694041195672732;8.29695236979806;2017-01-03 12:00:00
-2.260641532429618;3.2285306984977984;-5.111015638536528;7.299286796603719;2017-01-03 13:00:00
-1.7253446977312188;2.7611286942771636;-4.267957936493016;6.830160454264562;2017-01-03 14:00:00
-1.4604922351278244;2.010195107418471;-3.928220494481734;5.40673166822899;2017-01-03 15:00:00
-1.5918276201186174;1.433288026979809;-4.202424917113149;3.7838803912266945;2017-01-03 16:00:00
-0.8139658312987538;1.4098301754344789;-2.5704184146276443;4.452095290845724;2017-01-03 17:00:00
-0.802413071630993;1.9860420446032578;-1.7974052804534244;4.448734179911298;2017-01-03 18:00:00
-0.495952334605901;1.7295913351612378;-1.393389892464198;4.859328036881573;2017-01-03 19:00:00
;;;;2017-01-03 20:00:00
-0.6415822242319761;1.8632900745379541;-1.9247466726959286;5.589870223613865;2017-01-03 21:00:00
-0.5011225548119917;2.170600256227779;-1.3299021646933624;5.760439141527568;2017-01-03 22:00:00
-0.7096247888937192;2.6483557664617;-1.5523042257050108;5.79327823913497;2017-01-03 23:00:00
-0.48786704236443196;1.8207445894424188;-1.5523042257050108;5.79327823913497;2017-01-04 00:00:00
-0.3886986286344397;2.4541465552928035;-0.8846244651680351;5.585299056873276;2017-01-04 01:00:00
-0.141883593196116;1.6217368911353176;-0.4928587974180867;5.633401832364787;2017-01-04 02:00:00
-0.1701651949960734;1.6190136826164978;-0.47467133341009937;4.516196062035493;2017-01-04 03:00:00
0.33263661979393105;1.241416765528922;0.9535583100759359;3.55872806118291;2017-01-04 04:00:00
0.3206520232166029;1.5085491630900134;0.6769320490128283;3.1847148998566945;2017-01-04 05:00:00
0.27426204450524805;1.9514758474718321;0.6558440194690716;4.6665726787369906;2017-01-04 06:00:00
0.779353668666415;2.717929240967659;2.314444228160869;8.071426230752444;2017-01-04 07:00:00
0.34848842567225535;2.200269325434927;1.3135332967646556;8.293322842023958;2017-01-04 08:00:00
0.10465736048290242;2.996994682709807;0.23024619306238536;6.593388301961573;2017-01-04 09:00:00
;;;;2017-01-04 10:00:00
-0.8705766934914175;3.4916924034360557;-2.134985700705143;8.56295994175985;2017-01-04 11:00:00
-0.6031530444327513;3.808158447868143;-1.3537434997268414;8.547200071881832;2017-01-04 12:00:00
-0.6701700493697238;4.231287164297937;-1.4341639056512085;9.054954531597584;2017-01-04 13:00:00
-1.25891262152224;3.2795795037325934;-3.2854548903141367;8.558902607302132;2017-01-04 14:00:00
-1.1649776934022364;3.5854326681604616;-3.018351296542158;9.289530094779378;2017-01-04 15:00:00
-1.8101075251933074;3.404317127753606;-4.2235842254510505;7.943406631425081;2017-01-04 16:00:00
-1.8990091120246744;2.4306208223943897;-5.538776576738632;7.089310731983636;2017-01-04 17:00:00
-1.5192849909904336;1.6292336859482726;-4.791591125431367;5.138352394144552;2017-01-04 18:00:00
-1.147348238385419;1.9095081322558627;-3.133143266360183;5.214426053467933;2017-01-04 19:00:00
;;;;2017-01-04 20:00:00
-1.031277611806391;1.3685516144007348;-3.1969605965998125;4.242510004642279;2017-01-04 21:00:00
-0.8044922334192477;1.5130298345571582;-2.292802865244856;4.312135028487901;2017-01-04 22:00:00
-0.9853270589405966;1.706636528157527;-2.2705362662544184;3.932684173580389;2017-01-04 23:00:00
-0.9389977234567352;1.9252306396375582;-2.5540738078023195;5.2366273398141585;2017-01-05 00:00:00
-0.6755140895972994;1.7597743678565136;-1.8423111534471803;4.799384639608674;2017-01-05 01:00:00
-1.2058437252830891;2.366601563238057;-2.4116874505661787;4.733203126476114;2017-01-05 02:00:00
